Date,Prec
2014-01-01,0.079488
2014-01-02,14.801616000000001
2014-01-03,0.0339552
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.35856
2014-01-07,2.9203200000000002
2014-01-08,6.9984
2014-01-09,0.0009936
2014-01-10,0.258336
2014-01-11,7.153919999999999
2014-01-12,0.0
2014-01-13,3.03264
2014-01-14,12.6379008
2014-01-15,0.045792
2014-01-16,0.443232
2014-01-17,0.0498528
2014-01-18,0.0
2014-01-19,0.0360288
2014-01-20,0.0
2014-01-21,0.0396576
2014-01-22,0.088128
2014-01-23,0.0
2014-01-24,4.00032
2014-01-25,1.8230400000000002
2014-01-26,3.35232
2014-01-27,0.200448
2014-01-28,12.0866688
2014-01-29,22.294656
2014-01-30,0.0
2014-01-31,0.0304992
2014-02-01,0.0
2014-02-02,0.248832
2014-02-03,0.131328
2014-02-04,0.0
2014-02-05,0.37843200000000005
2014-02-06,0.16588799999999998
2014-02-07,0.205632
2014-02-08,0.000541728
2014-02-09,3.04128
2014-02-10,0.16416
2014-02-11,0.0
2014-02-12,0.0238464
2014-02-13,6.01344
2014-02-14,4.561920000000001
2014-02-15,1.3305600000000002
2014-02-16,0.0
2014-02-17,0.038447999999999996
2014-02-18,0.033868800000000004
2014-02-19,0.0
2014-02-20,0.072144
2014-02-21,1.3392000000000002
2014-02-22,0.0516672
2014-02-23,1.3910399999999998
2014-02-24,7.4736
2014-02-25,1.3651200000000001
2014-02-26,0.00621216
2014-02-27,0.0
2014-02-28,0.0202176
2014-03-01,0.27734400000000003
2014-03-02,1.89216
2014-03-03,1.1663999999999999
2014-03-04,0.0
2014-03-05,4.6310400000000005
2014-03-06,7.0243199999999995
2014-03-07,0.0
2014-03-08,1.08
2014-03-09,0.152064
2014-03-10,0.0111456
2014-03-11,0.2808
2014-03-12,0.355968
2014-03-13,0.0
2014-03-14,0.0
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,1.4601600000000001
2014-03-18,0.18576
2014-03-19,0.0
2014-03-20,7.84512
2014-03-21,0.450144
2014-03-22,3.43872
2014-03-23,22.2261408
2014-03-24,0.550368
2014-03-25,2.58336
2014-03-26,3.6374400000000002
2014-03-27,10.0605888
2014-03-28,0.038534399999999996
2014-03-29,0.0
2014-03-30,8.9099136
2014-03-31,2.27232
2014-04-01,1.53792
2014-04-02,0.0
2014-04-03,0.0260928
2014-04-04,0.0
2014-04-05,0.6808320000000001
2014-04-06,8.9344512
2014-04-07,9.617184
2014-04-08,0.12355200000000001
2014-04-09,0.641952
2014-04-10,0.0
2014-04-11,10.5735456
2014-04-12,1.4601600000000001
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.01728
2014-04-16,0.412128
2014-04-17,0.72144
2014-04-18,1.97856
2014-04-19,0.0
2014-04-20,0.257472
2014-04-21,0.0
2014-04-22,0.010972800000000001
2014-04-23,3.00672
2014-04-24,0.0
2014-04-25,0.0569376
2014-04-26,0.229824
2014-04-27,20.4872544
2014-04-28,0.0
2014-04-29,0.145152
2014-04-30,3.34368
2014-05-01,2.27232
2014-05-02,1.71936
2014-05-03,0.0
2014-05-04,9.3375072
2014-05-05,0.87264
2014-05-06,2.15136
2014-05-07,3.4128
2014-05-08,2.62656
2014-05-09,7.9056
2014-05-10,0.050975999999999994
2014-05-11,0.0
2014-05-12,0.006341759999999999
2014-05-13,0.024192
2014-05-14,0.387936
2014-05-15,0.0
2014-05-16,0.95904
2014-05-17,0.162432
2014-05-18,0.16156800000000002
2014-05-19,0.208224
2014-05-20,0.038534399999999996
2014-05-21,11.1417984
2014-05-22,1.32192
2014-05-23,0.0021168000000000003
2014-05-24,0.274752
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0352512
2014-05-29,0.0
2014-05-30,1.41696
2014-05-31,0.309312
